"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation"
"01/12/2025","3,485","3,422","3,489","3,411","2,12%"
"28/11/2025","3,413","3,414","3,423","3,401","0,11%"
"27/11/2025","3,409","3,396","3,420","3,395","0,41%"
"26/11/2025","3,395","3,420","3,425","3,391","-0,45%"
"25/11/2025","3,411","3,454","3,461","3,400","-1,12%"
"24/11/2025","3,449","3,461","3,468","3,446","-0,74%"
"21/11/2025","3,475","3,475","3,476","3,449","-0,45%"
"20/11/2025","3,491","3,471","3,506","3,464","0,96%"
"19/11/2025","3,457","3,461","3,467","3,425","-0,18%"
"18/11/2025","3,464","3,450","3,467","3,436","0,27%"
"17/11/2025","3,454","3,458","3,469","3,440","0,00%"
"14/11/2025","3,455","3,434","3,461","3,431","1,11%"
"13/11/2025","3,417","3,385","3,419","3,362","1,15%"
"12/11/2025","3,378","3,420","3,429","3,377","-1,27%"
"11/11/2025","3,421","3,441","3,445","3,414","-0,55%"
"10/11/2025","3,440","3,480","3,487","3,436","-0,57%"
"07/11/2025","3,460","3,468","3,476","3,454","0,45%"
"06/11/2025","3,444","3,456","3,465","3,443","-0,47%"
"05/11/2025","3,461","3,438","3,461","3,426","0,68%"
"04/11/2025","3,437","3,427","3,440","3,422","-0,15%"
"03/11/2025","3,442","3,431","3,447","3,416","0,63%"
"31/10/2025","3,421","3,421","3,434","3,416","0,14%"
"30/10/2025","3,416","3,433","3,440","3,408","0,43%"
"29/10/2025","3,401","3,412","3,420","3,401","-0,59%"
"28/10/2025","3,422","3,418","3,427","3,408","0,12%"
"27/10/2025","3,418","3,444","3,445","3,417","-0,45%"
"24/10/2025","3,433","3,381","3,441","3,374","1,59%"
"23/10/2025","3,380","3,361","3,383","3,357","0,76%"
"22/10/2025","3,354","3,346","3,358","3,328","0,29%"
"21/10/2025","3,344","3,363","3,366","3,341","-0,62%"
"20/10/2025","3,365","3,382","3,396","3,363","0,17%"
"17/10/2025","3,359","3,321","3,367","3,308","0,83%"
"16/10/2025","3,332","3,352","3,364","3,323","-0,10%"
"15/10/2025","3,335","3,377","3,381","3,331","-1,82%"
"14/10/2025","3,397","3,438","3,447","3,397","-2,03%"
"13/10/2025","3,467","3,479","3,492","3,462","-0,31%"
"10/10/2025","3,478","3,502","3,506","3,453","-1,37%"
"09/10/2025","3,526","3,516","3,531","3,494","0,32%"
"08/10/2025","3,515","3,559","3,559","3,505","-1,55%"
"07/10/2025","3,570","3,582","3,598","3,569","0,00%"
"06/10/2025","3,571","3,570","3,599","3,553","1,70%"
"03/10/2025","3,511","3,523","3,529","3,508","-0,31%"
"02/10/2025","3,522","3,525","3,550","3,515","-0,16%"
"01/10/2025","3,528","3,559","3,572","3,510","-0,21%"
"30/09/2025","3,536","3,532","3,545","3,520","0,12%"
"29/09/2025","3,531","3,557","3,563","3,530","-0,97%"
"26/09/2025","3,566","3,592","3,606","3,551","-1,10%"
"25/09/2025","3,606","3,577","3,609","3,558","1,07%"
"24/09/2025","3,568","3,556","3,580","3,545","0,13%"
"23/09/2025","3,563","3,548","3,572","3,544","0,14%"
"22/09/2025","3,558","3,558","3,571","3,542","0,04%"
"19/09/2025","3,556","3,550","3,560","3,541","0,45%"
"18/09/2025","3,540","3,475","3,540","3,469","1,54%"
"17/09/2025","3,487","3,487","3,493","3,469","-0,06%"
"16/09/2025","3,489","3,492","3,504","3,463","0,11%"
"15/09/2025","3,485","3,515","3,516","3,475","-0,48%"
"12/09/2025","3,502","3,447","3,512","3,447","1,66%"
"11/09/2025","3,445","3,463","3,478","3,422","-0,43%"
"10/09/2025","3,460","3,475","3,481","3,459","-0,33%"
"09/09/2025","3,471","3,471","3,492","3,461","1,83%"
"08/09/2025","3,409","3,447","3,450","3,398","-1,16%"
"05/09/2025","3,449","3,474","3,489","3,421","-1,32%"
"04/09/2025","3,495","3,542","3,542","3,484","-1,30%"
"03/09/2025","3,541","3,579","3,601","3,533","-1,24%"
"02/09/2025","3,585","3,561","3,609","3,555","1,39%"
"01/09/2025","3,536","3,535","3,543","3,510","0,68%"
"29/08/2025","3,512","3,484","3,515","3,474","1,11%"
"28/08/2025","3,474","3,496","3,508","3,471","-1,37%"
"27/08/2025","3,522","3,490","3,540","3,481","0,65%"
"26/08/2025","3,499","3,507","3,530","3,492","-0,05%"
"25/08/2025","3,501","3,440","3,503","3,435","2,48%"
"22/08/2025","3,416","3,470","3,473","3,411","-1,32%"
"21/08/2025","3,462","3,411","3,467","3,404","1,43%"
"20/08/2025","3,413","3,430","3,441","3,407","-0,79%"
"19/08/2025","3,441","3,454","3,468","3,431","-0,34%"
"18/08/2025","3,452","3,462","3,466","3,418","-0,44%"
"15/08/2025","3,467","3,372","3,467","3,368","2,75%"
"14/08/2025","3,375","3,336","3,375","3,308","1,14%"
"13/08/2025","3,336","3,396","3,398","3,332","-2,12%"
"12/08/2025","3,408","3,363","3,426","3,358","1,57%"
"11/08/2025","3,356","3,335","3,364","3,315","0,23%"
"08/08/2025","3,348","3,307","3,362","3,299","1,47%"
