"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation"
"01/12/2025","2,7505","2,7036","2,7554","2,6987","2,20%"
"28/11/2025","2,6913","2,6810","2,6970","2,6710","0,52%"
"27/11/2025","2,6775","2,6680","2,6900","2,6660","0,13%"
"26/11/2025","2,6741","2,6730","2,6890","2,6610","0,05%"
"25/11/2025","2,6728","2,6940","2,7040","2,6660","-0,90%"
"24/11/2025","2,6970","2,7030","2,7080","2,6810","-0,04%"
"21/11/2025","2,6980","2,7200","2,7200","2,6720","-0,79%"
"20/11/2025","2,7194","2,7280","2,7410","2,7140","0,34%"
"19/11/2025","2,7103","2,7070","2,7140","2,6830","0,03%"
"18/11/2025","2,7095","2,7020","2,7100","2,6840","-0,13%"
"17/11/2025","2,7130","2,7160","2,7180","2,7000","-0,13%"
"14/11/2025","2,7166","2,7010","2,7180","2,6820","1,09%"
"13/11/2025","2,6874","2,6490","2,6900","2,6390","1,55%"
"12/11/2025","2,6465","2,6600","2,6800","2,6450","-0,41%"
"11/11/2025","2,6574","2,6780","2,6810","2,6520","-0,32%"
"10/11/2025","2,6658","2,6970","2,6990","2,6590","-0,07%"
"07/11/2025","2,6676","2,6520","2,6810","2,6490","0,38%"
"06/11/2025","2,6576","2,6750","2,6760","2,6520","-0,55%"
"05/11/2025","2,6723","2,6520","2,6740","2,6380","0,77%"
"04/11/2025","2,6518","2,6570","2,6600","2,6400","-0,40%"
"03/11/2025","2,6625","2,6370","2,6660","2,6350","0,97%"
"31/10/2025","2,6369","2,6440","2,6580","2,6320","-0,02%"
"30/10/2025","2,6375","2,6210","2,6610","2,6210","0,72%"
"29/10/2025","2,6186","2,6260","2,6290","2,6150","-0,10%"
"28/10/2025","2,6212","2,6140","2,6210","2,6030","0,17%"
"27/10/2025","2,6167","2,6320","2,6450","2,6160","-0,29%"
"24/10/2025","2,6242","2,5850","2,6320","2,5720","1,80%"
"23/10/2025","2,5779","2,5660","2,5820","2,5650","0,73%"
"22/10/2025","2,5592","2,5580","2,5690","2,5400","0,33%"
"21/10/2025","2,5508","2,5770","2,5820","2,5490","-1,28%"
"20/10/2025","2,5839","2,5920","2,5990","2,5750","0,21%"
"17/10/2025","2,5784","2,5760","2,5870","2,5230","0,35%"
"16/10/2025","2,5694","2,5780","2,5860","2,5630","0,45%"
"15/10/2025","2,5580","2,6040","2,6040","2,5570","-1,88%"
"14/10/2025","2,6071","2,6370","2,6370","2,5870","-0,87%"
"13/10/2025","2,6301","2,6530","2,6560","2,6220","-0,15%"
"10/10/2025","2,6340","2,6980","2,6980","2,6320","-2,59%"
"09/10/2025","2,7040","2,6830","2,7060","2,6770","1,01%"
"08/10/2025","2,6769","2,7140","2,7150","2,6660","-1,25%"
"07/10/2025","2,7107","2,7190","2,7430","2,7110","-0,25%"
"06/10/2025","2,7174","2,7050","2,7340","2,6940","0,64%"
"03/10/2025","2,7000","2,7030","2,7070","2,6900","0,08%"
"02/10/2025","2,6978","2,7170","2,7280","2,6960","-0,57%"
"01/10/2025","2,7134","2,7160","2,7430","2,6930","0,05%"
"30/09/2025","2,7120","2,7080","2,7240","2,6930","0,21%"
"29/09/2025","2,7062","2,7410","2,7440","2,7060","-1,42%"
"26/09/2025","2,7451","2,7740","2,7790","2,7280","-0,97%"
"25/09/2025","2,7721","2,7480","2,7780","2,7320","0,90%"
"24/09/2025","2,7474","2,7400","2,7540","2,7300","-0,17%"
"23/09/2025","2,7520","2,7530","2,7530","2,7300","0,14%"
"22/09/2025","2,7481","2,7620","2,7620","2,7290","-0,01%"
"19/09/2025","2,7485","2,7300","2,7510","2,7260","1,20%"
"18/09/2025","2,7160","2,6840","2,7240","2,6660","1,48%"
"17/09/2025","2,6763","2,6920","2,6940","2,6640","-0,68%"
"16/09/2025","2,6945","2,6970","2,7160","2,6800","-0,05%"
"15/09/2025","2,6959","2,7050","2,7090","2,6870","-0,64%"
"12/09/2025","2,7133","2,6600","2,7150","2,6603","2,37%"
"11/09/2025","2,6505","2,6500","2,6840","2,6360","-0,13%"
"10/09/2025","2,6539","2,6530","2,6710","2,6360","-0,39%"
"09/09/2025","2,6644","2,6550","2,6730","2,6500","0,97%"
"08/09/2025","2,6387","2,6650","2,6770","2,6380","-0,73%"
"05/09/2025","2,6582","2,7160","2,7170","2,6530","-2,38%"
"04/09/2025","2,7229","2,7410","2,7410","2,7010","-0,65%"
"03/09/2025","2,7406","2,7930","2,8000","2,7400","-1,77%"
"02/09/2025","2,7899","2,7520","2,8000","2,7520","1,49%"
"01/09/2025","2,7490","2,7330","2,7580","2,7280","0,98%"
"29/08/2025","2,7222","2,7010","2,7240","2,6930","0,91%"
"28/08/2025","2,6977","2,6990","2,7160","2,6790","0,14%"
"27/08/2025","2,6940","2,7240","2,7320","2,6850","-1,03%"
"26/08/2025","2,7219","2,7510","2,7510","2,7160","-1,31%"
"25/08/2025","2,7581","2,7490","2,7780","2,7400","1,43%"
"22/08/2025","2,7191","2,7500","2,7620","2,7181","-1,26%"
"21/08/2025","2,7537","2,7300","2,7610","2,7070","1,37%"
"20/08/2025","2,7164","2,7580","2,7700","2,7120","-1,38%"
"19/08/2025","2,7543","2,7690","2,7840","2,7480","-0,78%"
"18/08/2025","2,7759","2,7870","2,7870","2,7410","-0,10%"
"15/08/2025","2,7787","2,7070","2,7800","2,7000","2,68%"
"14/08/2025","2,7062","2,6840","2,7070","2,6550","0,97%"
"13/08/2025","2,6801","2,7410","2,7410","2,6750","-2,30%"
"12/08/2025","2,7431","2,6940","2,7560","2,6900","1,72%"
"11/08/2025","2,6966","2,6910","2,6980","2,6600","0,34%"
"08/08/2025","2,6874","2,6380","2,6940","2,6370","1,92%"
"07/08/2025","2,6369","2,6530","2,6650","2,6230","-0,24%"
"06/08/2025","2,6432","2,6240","2,6500","2,6230","0,80%"
"05/08/2025","2,6221","2,6170","2,6470","2,6010","-0,23%"
"04/08/2025","2,6282","2,6810","2,7010","2,6260","-1,82%"
"01/08/2025","2,6770","2,7010","2,7370","2,6390","-0,59%"
"31/07/2025","2,6930","2,7010","2,7070","2,6740","-0,44%"
"30/07/2025","2,7050","2,6910","2,7140","2,6740","0,56%"
"29/07/2025","2,6900","2,6900","2,7120","2,6830","0,07%"
"28/07/2025","2,6880","2,7290","2,7300","2,6790","-1,03%"
"25/07/2025","2,7160","2,7100","2,7680","2,7080","0,82%"
"24/07/2025","2,6940","2,6790","2,7100","2,6590","3,62%"
"23/07/2025","2,6000","2,5890","2,6250","2,5890","0,46%"
"22/07/2025","2,5880","2,6160","2,6320","2,5840","-1,15%"
"21/07/2025","2,6180","2,6900","2,6900","2,6100","-2,71%"
"18/07/2025","2,6910","2,6810","2,7020","2,6780","0,60%"
"17/07/2025","2,6750","2,6970","2,7120","2,6640","-0,63%"
"16/07/2025","2,6920","2,6960","2,7270","2,6790","-0,85%"
"15/07/2025","2,7150","2,7260","2,7280","2,6700","-0,62%"
"14/07/2025","2,7320","2,7260","2,7370","2,7070","1,71%"
"11/07/2025","2,6860","2,6550","2,6950","2,6430","0,90%"
"10/07/2025","2,6620","2,6280","2,6670","2,6150","1,14%"
"09/07/2025","2,6320","2,6480","2,6530","2,6220","-0,42%"
"08/07/2025","2,6430","2,6110","2,6680","2,6110","1,38%"
"07/07/2025","2,6070","2,5620","2,6080","2,5520","1,60%"
"04/07/2025","2,5660","2,5630","2,5670","2,5380","-0,52%"
"03/07/2025","2,5795","2,6210","2,6240","2,5710","-1,47%"
"02/07/2025","2,6180","2,5710","2,6320","2,5710","1,99%"
"01/07/2025","2,5670","2,5930","2,5930","2,5430","-1,12%"
"30/06/2025","2,5960","2,5860","2,6030","2,5630","-0,04%"
"27/06/2025","2,5970","2,5590","2,6050","2,5480","1,29%"
"26/06/2025","2,5640","2,5500","2,5730","2,5330","0,10%"
"25/06/2025","2,5615","2,5440","2,5770","2,5030","1,13%"
"24/06/2025","2,5330","2,5180","2,5720","2,4970","1,12%"
"23/06/2025","2,5050","2,5300","2,5580","2,4940","-0,32%"
"20/06/2025","2,5130","2,5190","2,5390","2,4870","-0,22%"
"19/06/2025","2,5185","2,5110","2,5380","2,5010","0,80%"
"18/06/2025","2,4985","2,5370","2,5480","2,4970","-1,42%"
"17/06/2025","2,5345","2,5410","2,5580","2,5050","0,24%"
"16/06/2025","2,5285","2,5390","2,5880","2,5160","-0,30%"
"13/06/2025","2,5360","2,4770","2,5370","2,4220","2,34%"
"12/06/2025","2,4780","2,5310","2,5360","2,4690","-2,38%"
"11/06/2025","2,5385","2,5280","2,5550","2,5150","0,30%"
"10/06/2025","2,5310","2,5600","2,5680","2,5170","-1,50%"
"09/06/2025","2,5695","2,5690","2,5930","2,5140","0,29%"
"06/06/2025","2,5620","2,5780","2,5810","2,5340","-0,95%"
"05/06/2025","2,5865","2,5200","2,5910","2,4760","2,60%"
"04/06/2025","2,5210","2,5200","2,5400","2,5040","0,68%"
"03/06/2025","2,5040","2,5020","2,5150","2,4850","-0,73%"
"02/06/2025","2,5225","2,5080","2,5600","2,5060","0,58%"
"30/05/2025","2,5080","2,5090","2,5390","2,4970","-0,16%"
"29/05/2025","2,5120","2,5830","2,5940","2,5120","-1,37%"
"28/05/2025","2,5470","2,5450","2,5620","2,5350","0,55%"
"27/05/2025","2,5330","2,5360","2,5520","2,5130","-1,04%"
"26/05/2025","2,5595","2,5850","2,6090","2,5580","-0,56%"
"23/05/2025","2,5740","2,6400","2,6440","2,5390","-2,41%"
"22/05/2025","2,6375","2,6600","2,6650","2,6360","-0,17%"
"21/05/2025","2,6420","2,6130","2,6700","2,6130","1,65%"
"20/05/2025","2,5990","2,5790","2,6240","2,5550","0,89%"
"19/05/2025","2,5760","2,5940","2,6530","2,5720","-0,39%"
"16/05/2025","2,5860","2,6140","2,6140","2,5630","-1,49%"
"15/05/2025","2,6250","2,6960","2,7000","2,6230","-2,49%"
"14/05/2025","2,6920","2,6830","2,6940","2,6560","0,64%"
"13/05/2025","2,6750","2,6630","2,6800","2,6530","1,25%"
"12/05/2025","2,6420","2,5630","2,6500","2,5620","3,57%"
"09/05/2025","2,5510","2,5410","2,5880","2,5410","1,33%"
"08/05/2025","2,5175","2,4810","2,5200","2,4750","1,76%"
"07/05/2025","2,4740","2,5440","2,5470","2,4750","-2,27%"
"06/05/2025","2,5315","2,5310","2,5570","2,5190","0,54%"
"05/05/2025","2,5180","2,5430","2,5430","2,5030","-0,08%"
"02/05/2025","2,5200","2,4600","2,5220","2,4580","3,28%"
"30/04/2025","2,4400","2,4910","2,4980","2,4390","-2,09%"
"29/04/2025","2,4920","2,5000","2,5100","2,4860","-0,58%"
"28/04/2025","2,5065","2,4730","2,5240","2,4710","1,35%"
"25/04/2025","2,4730","2,4550","2,4800","2,4550","1,27%"
"24/04/2025","2,4420","2,4950","2,5000","2,4420","-2,07%"
"23/04/2025","2,4935","2,4570","2,5180","2,4540","2,23%"
"22/04/2025","2,4390","2,4730","2,4780","2,4400","-1,03%"
"17/04/2025","2,4645","2,5110","2,5380","2,4530","-1,50%"
"16/04/2025","2,5020","2,5360","2,5360","2,4790","-1,65%"
"15/04/2025","2,5440","2,5040","2,5510","2,4930","0,91%"
"14/04/2025","2,5210","2,5710","2,5800","2,5090","-0,24%"
"11/04/2025","2,5270","2,6120","2,6320","2,4900","-2,11%"
"10/04/2025","2,5815","2,7070","2,7150","2,5680","0,08%"
"09/04/2025","2,5795","2,6260","2,6750","2,5570","-1,71%"
"08/04/2025","2,6245","2,6490","2,6800","2,5740","1,02%"
"07/04/2025","2,5980","2,5770","2,6680","2,4310","1,11%"
"04/04/2025","2,5695","2,6230","2,6300","2,4870","-2,69%"
