DATAFLOW,LAST UPDATE,freq,indic,s_adj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-01,104.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-02,104.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-03,91.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-04,67.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-05,72.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-06,81.4,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-07,90.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-08,97.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-09,98.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-10,100.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-11,98.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2020-12,99.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-01,96.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-02,99.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-03,105.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-04,105.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-05,108.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-06,116.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-07,117.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-08,117.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-09,118.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-10,117.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2021-11,116.1,,
