"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation %"
"31/12/2025","2,052","2,052","2,052","2,052","1,36%"
"30/12/2025","2,024","2,126","2,126","1,746","-1,24%"
"29/12/2025","2,050","2,081","2,090","1,744","-1,77%"
"25/12/2025","2,087","2,087","2,087","2,087","1,21%"
"24/12/2025","2,062","2,062","2,062","2,062","0,78%"
"23/12/2025","2,046","2,082","2,087","2,044","0,14%"
"22/12/2025","2,043","2,092","2,094","2,037","-1,11%"
"19/12/2025","2,066","2,104","2,108","2,058","-0,37%"
"18/12/2025","2,074","2,076","2,107","2,072","-1,48%"
"17/12/2025","2,105","2,105","2,107","2,073","1,36%"
"16/12/2025","2,077","2,087","2,116","2,073","-0,54%"
"15/12/2025","2,088","2,131","2,133","2,082","1,43%"
"12/12/2025","2,058","2,090","2,094","2,056","-0,07%"
"11/12/2025","2,060","2,062","2,065","2,055","-0,21%"
"10/12/2025","2,064","2,049","2,142","2,049","0,25%"
"09/12/2025","2,059","2,075","2,142","2,050","-0,59%"
"08/12/2025","2,071","2,063","2,137","2,058","0,15%"
"05/12/2025","2,068","2,062","2,134","2,060","0,14%"
"04/12/2025","2,066","2,134","2,134","2,063","-3,30%"
"03/12/2025","2,136","2,085","2,147","2,073","-0,93%"
"02/12/2025","2,156","2,093","2,156","2,085","3,01%"
"01/12/2025","2,093","2,069","2,155","2,060","2,30%"
"28/11/2025","2,046","2,059","2,107","2,044","-0,39%"
"27/11/2025","2,054","2,049","2,107","2,042","0,00%"
"26/11/2025","2,054","2,052","2,063","2,041","0,29%"
"25/11/2025","2,048","2,047","2,106","2,036","0,10%"
"24/11/2025","2,046","2,047","2,094","2,025","0,49%"
"21/11/2025","2,036","2,036","2,100","2,031","-0,63%"
"20/11/2025","2,049","2,053","2,100","2,032","0,44%"
"19/11/2025","2,040","2,043","2,056","2,040","-0,63%"
"18/11/2025","2,053","2,063","2,071","2,043","0,15%"
"17/11/2025","2,050","2,066","2,073","2,046","1,28%"
"14/11/2025","2,024","2,040","2,083","2,000","-0,10%"
"13/11/2025","2,026","2,024","2,088","2,012","0,52%"
"12/11/2025","2,016","2,037","2,091","2,011","-0,56%"
"11/11/2025","2,027","2,032","2,091","2,015","-0,54%"
"10/11/2025","2,038","2,028","2,089","2,026","0,39%"
"07/11/2025","2,030","2,025","2,089","2,025","0,10%"
"06/11/2025","2,028","2,028","2,090","2,025","0,05%"
"05/11/2025","2,027","2,028","2,089","2,025","0,10%"
"04/11/2025","2,025","2,030","2,093","2,025","-0,54%"
"03/11/2025","2,036","2,025","2,095","2,025","1,29%"
"31/10/2025","2,010","2,015","2,069","2,003","-0,45%"
"30/10/2025","2,019","2,017","2,072","2,007","0,10%"
"29/10/2025","2,017","2,012","2,068","2,005","0,10%"
"28/10/2025","2,015","2,071","2,071","2,005","-1,08%"
"27/10/2025","2,037","2,038","2,072","2,036","-1,62%"
"24/10/2025","2,070","2,065","2,070","2,008","0,81%"
"23/10/2025","2,054","2,051","2,054","2,000","2,70%"
"22/10/2025","2,000","2,050","2,051","1,990","-2,93%"
"21/10/2025","2,060","2,063","2,063","2,060","-0,09%"
"20/10/2025","2,062","2,072","2,074","1,995","5,19%"
"17/10/2025","1,961","1,970","2,031","1,951","0,09%"
"16/10/2025","1,959","1,971","2,034","1,954","-3,59%"
"15/10/2025","2,032","1,977","2,038","1,951","2,71%"
"14/10/2025","1,978","1,981","2,038","1,956","-0,70%"
"13/10/2025","1,992","1,992","2,041","1,978","0,91%"
"10/10/2025","1,974","1,968","2,031","1,953","0,10%"
"09/10/2025","1,972","1,968","2,026","1,956","0,56%"
"08/10/2025","1,961","1,976","2,027","1,949","0,29%"
