Date,Open,High,Low,Close
12/30/2025,"15.51","14.71","14.71","14.71"
12/29/2025,"15.46","15.41","15.41","15.41"
12/23/2025,"14.29","14.05","14.05","14.05"
12/22/2025,"14.93","14.41","14.41","14.41"
12/19/2025,"15.43","14.57","14.57","14.57"
12/18/2025,"15.96","15.53","15.53","15.53"
12/17/2025,"14.95","15.88","15.88","15.88"
12/16/2025,"15.44","15.38","15.38","15.38"
12/15/2025,"15.29","15.10","15.10","15.10"
12/12/2025,"14.42","15.67","15.67","15.67"
12/11/2025,"16.12","15.04","15.04","15.04"
12/10/2025,"16.18","16.22","16.22","16.22"
12/09/2025,"15.94","16.12","16.12","16.12"
12/08/2025,"16.20","16.11","16.11","16.11"
12/05/2025,"15.63","15.78","15.78","15.78"
12/04/2025,"16.01","15.98","15.98","15.98"
12/03/2025,"16.53","16.63","16.63","16.63"
12/02/2025,"17.17","17.09","17.09","17.09"
12/01/2025,"17.87","17.33","17.33","17.33"
11/28/2025,"17.90","17.12","17.12","17.12"
11/27/2025,"18.31","17.94","17.94","17.94"
11/26/2025,"18.92","18.49","18.49","18.49"
11/25/2025,"20.73","19.84","19.84","19.84"
11/24/2025,"24.25","24.25","21.01","24.25"
11/21/2025,"24.63","24.56","24.56","24.56"
11/20/2025,"20.43","21.86","21.86","21.86"
11/19/2025,"23.10","23.00","23.00","23.00"
11/18/2025,"22.75","22.89","22.89","22.89"
11/17/2025,"19.10","20.21","20.21","20.21"
11/14/2025,"20.53","19.20","19.20","19.20"
11/13/2025,"17.60","18.79","18.79","18.79"
11/12/2025,"17.67","17.94","17.43","17.67"
11/11/2025,"18.12","18.22","17.87","18.12"
11/10/2025,"18.56","18.90","18.19","18.56"
11/07/2025,"18.98","21.38","21.38","21.38"
11/06/2025,"18.32","19.36","19.36","19.36"
11/05/2025,"19.63","17.89","17.89","17.89"
11/04/2025,"19.60","18.63","18.63","18.63"
11/03/2025,"18.21","18.15","18.15","18.15"
10/31/2025,"16.95","17.81","17.81","17.81"
10/30/2025,"16.90","16.87","16.87","16.87"
10/29/2025,"16.69","17.03","17.03","17.03"
10/28/2025,"16.66","16.44","16.44","16.44"
10/27/2025,"16.59","16.34","16.34","16.34"
10/24/2025,"16.78","17.34","16.43","16.78"
10/23/2025,"17.32","17.94","17.13","17.32"
10/22/2025,"17.30","17.79","16.74","17.30"
10/21/2025,"17.25","17.40","16.68","17.25"
10/20/2025,"19.21","17.22","17.22","17.22"
10/17/2025,"20.92","20.24","20.24","20.24"
10/16/2025,"19.68","19.40","19.40","19.40"
10/15/2025,"19.18","19.16","19.16","19.16"
10/14/2025,"21.18","20.42","20.42","20.42"
10/13/2025,"20.23","19.68","19.68","19.68"
10/10/2025,"17.13","19.60","19.60","19.60"
10/09/2025,"17.30","17.21","17.21","17.21"
10/08/2025,"18.24","17.52","17.52","17.52"
10/07/2025,"17.80","18.19","18.19","18.19"
10/06/2025,"16.83","17.72","17.72","17.72"
10/03/2025,"16.83","16.09","16.09","16.09"
10/02/2025,"16.42","16.81","16.81","16.81"
10/01/2025,"17.28","16.47","16.47","16.47"
09/30/2025,"16.80","16.68","16.68","16.68"
09/29/2025,"16.88","16.47","16.47","16.47"
09/26/2025,"16.94","16.71","16.71","16.71"
09/25/2025,"17.21","17.32","17.32","17.32"
09/24/2025,"16.96","16.79","16.79","16.79"
09/23/2025,"16.86","16.58","16.58","16.58"
09/22/2025,"16.59","16.79","16.79","16.79"
09/19/2025,"15.49","15.67","15.31","15.49"
09/18/2025,"15.75","15.41","15.41","15.41"
09/17/2025,"16.58","16.80","16.80","16.80"
09/16/2025,"15.75","16.77","16.77","16.77"
09/15/2025,"15.49","15.49","15.49","15.49"
09/12/2025,"15.71","15.39","15.39","15.39"
09/11/2025,"16.71","15.82","15.82","15.82"
09/10/2025,"16.31","16.83","16.83","16.83"
09/09/2025,"16.66","16.73","16.73","16.73"
09/08/2025,"17.54","16.88","16.88","16.88"
09/05/2025,"17.36","17.68","17.68","17.68"
09/04/2025,"18.29","17.43","17.43","17.43"
09/03/2025,"19.12","18.41","18.41","18.41"
09/02/2025,"18.20","19.72","19.72","19.72"
09/01/2025,"18.03","17.65","17.65","17.65"
08/29/2025,"17.21","17.56","17.56","17.56"
08/28/2025,"17.46","17.10","17.10","17.10"
08/27/2025,"17.50","17.84","17.84","17.84"
08/26/2025,"18.33","18.00","18.00","18.00"
08/25/2025,"15.79","16.88","16.88","16.88"
08/22/2025,"16.98","15.06","15.06","15.06"
08/21/2025,"16.39","16.73","16.73","16.73"
08/20/2025,"16.28","16.59","16.59","16.59"
08/19/2025,"16.27","15.76","15.76","15.76"
08/18/2025,"16.31","16.40","16.40","16.40"
08/15/2025,"15.75","15.84","15.84","15.84"
08/14/2025,"15.67","15.99","15.99","15.99"
08/13/2025,"16.33","16.16","16.16","16.16"
08/12/2025,"17.70","16.67","16.67","16.67"
08/11/2025,"17.56","17.76","17.76","17.76"
08/08/2025,"17.88","17.40","17.40","17.40"
08/07/2025,"17.96","18.08","18.08","18.08"
08/06/2025,"18.29","18.39","18.39","18.39"
08/05/2025,"18.77","18.83","18.83","18.83"
08/04/2025,"21.55","19.67","19.67","19.67"
08/01/2025,"18.93","21.79","21.79","21.79"
07/31/2025,"16.11","17.54","17.54","17.54"
07/30/2025,"16.99","16.49","16.49","16.49"
07/29/2025,"16.65","16.66","16.10","16.65"
07/28/2025,"17.03","17.23","17.23","17.23"
07/25/2025,"18.30","17.80","17.80","17.80"
07/24/2025,"17.44","17.72","17.72","17.72"
07/23/2025,"17.84","18.42","18.42","18.42"
07/22/2025,"17.93","18.86","18.86","18.86"
07/21/2025,"17.95","17.61","17.61","17.61"
07/18/2025,"17.25","17.70","17.70","17.70"
07/17/2025,"17.92","17.42","17.42","17.42"
07/16/2025,"18.30","19.04","19.04","19.04"
07/15/2025,"17.36","17.75","17.75","17.75"
07/14/2025,"18.40","17.74","17.74","17.74"
07/11/2025,"16.65","17.11","17.11","17.11"
07/10/2025,"16.30","15.99","15.99","15.99"
07/09/2025,"17.07","16.61","16.61","16.61"
07/08/2025,"18.19","17.40","17.40","17.40"
07/07/2025,"18.85","18.48","18.48","18.48"
07/04/2025,"17.85","19.05","19.05","19.05"
07/03/2025,"17.69","17.23","17.23","17.23"
07/02/2025,"17.51","17.75","17.75","17.75"
07/01/2025,"17.62","17.67","17.67","17.67"
06/30/2025,"17.98","17.67","17.67","17.67"
06/27/2025,"17.90","17.40","17.40","17.40"
06/26/2025,"18.53","18.50","18.50","18.50"
06/25/2025,"18.53","19.00","19.00","19.00"
06/24/2025,"19.36","18.85","18.85","18.85"
06/23/2025,"23.37","22.45","22.45","22.45"
06/20/2025,"23.60","22.48","22.48","22.48"
06/19/2025,"23.30","24.95","24.95","24.95"
06/18/2025,"22.16","22.40","22.40","22.40"
06/17/2025,"21.57","22.10","22.10","22.10"
06/16/2025,"21.09","19.98","19.98","19.98"
06/13/2025,"21.44","21.73","21.73","21.73"
06/12/2025,"18.56","19.37","19.37","19.37"
06/11/2025,"17.76","17.25","17.25","17.25"
06/10/2025,"17.76","17.74","17.74","17.74"
06/09/2025,"18.09","17.63","17.63","17.63"
06/06/2025,"18.16","17.42","17.42","17.42"
06/05/2025,"18.41","17.75","17.75","17.75"
06/04/2025,"18.23","18.51","18.51","18.51"
06/03/2025,"19.67","18.66","18.66","18.66"
06/02/2025,"20.27","19.98","19.98","19.98"
05/30/2025,"19.28","19.15","19.15","19.15"
05/29/2025,"18.77","19.01","19.01","19.01"
05/28/2025,"18.54","19.31","19.31","19.31"
05/27/2025,"19.64","18.57","18.57","18.57"
05/26/2025,"22.77","22.81","19.10","22.77"
05/23/2025,"18.24","22.48","22.48","22.48"
05/22/2025,"18.02","18.36","18.36","18.36"
05/21/2025,"16.91","16.69","16.69","16.69"
05/20/2025,"16.61","16.58","16.58","16.58"
05/19/2025,"17.95","16.81","16.81","16.81"
05/16/2025,"16.42","16.36","16.36","16.36"
05/15/2025,"17.17","16.61","16.61","16.61"
05/14/2025,"16.52","17.21","17.21","17.21"
05/13/2025,"17.83","16.56","16.56","16.56"
05/12/2025,"19.47","18.20","18.20","18.20"
05/09/2025,"20.17","20.52","20.52","20.52"
05/08/2025,"20.72","20.42","20.42","20.42"
05/07/2025,"21.23","21.66","21.66","21.66"
05/06/2025,"20.34","20.79","20.79","20.79"
05/05/2025,"21.19","20.28","20.28","20.28"
05/02/2025,"21.28","20.54","20.54","20.54"
04/30/2025,"21.15","22.47","22.47","22.47"
04/29/2025,"22.03","21.60","21.60","21.60"
04/28/2025,"22.19","22.36","22.36","22.36"
04/25/2025,"22.79","21.97","21.97","21.97"
04/24/2025,"24.48","23.38","23.38","23.38"
04/23/2025,"23.69","24.54","24.54","24.54"
04/22/2025,"28.17","28.19","25.70","28.17"
04/17/2025,"27.05","26.18","26.18","26.18"
04/16/2025,"28.80","26.30","26.30","26.30"
04/15/2025,"28.23","25.95","25.95","25.95"
04/14/2025,"36.41","29.08","29.08","29.08"
04/11/2025,"36.19","39.56","39.56","39.56"
04/10/2025,"46.84","37.04","37.04","37.04"
04/09/2025,"38.51","45.87","45.87","45.87"
04/08/2025,"46.83","36.39","36.39","36.39"
04/07/2025,"45.31","53.54","42.01","45.31"
04/04/2025,"26.88","34.22","34.22","34.22"
04/03/2025,"22.72","25.54","25.54","25.54"
04/02/2025,"21.65","21.32","21.32","21.32"
04/01/2025,"21.62","21.09","21.09","21.09"
03/31/2025,"22.60","22.15","22.15","22.15"
03/28/2025,"20.05","20.60","20.60","20.60"
03/27/2025,"19.82","19.61","19.61","19.61"
03/26/2025,"17.74","19.02","19.02","19.02"
03/25/2025,"18.21","17.59","17.59","17.59"
03/24/2025,"20.10","18.61","18.61","18.61"
03/21/2025,"19.13","19.69","19.69","19.69"
03/20/2025,"18.30","19.00","19.00","19.00"
03/19/2025,"19.28","18.61","18.61","18.61"
03/18/2025,"18.78","18.97","18.97","18.97"
03/17/2025,"20.67","19.11","19.11","19.11"
03/14/2025,"21.84","20.21","20.21","20.21"
03/13/2025,"21.94","21.83","21.83","21.83"
03/12/2025,"23.55","21.82","21.82","21.82"
03/11/2025,"24.05","24.30","24.30","24.30"
03/10/2025,"22.82","23.92","23.92","23.92"
03/07/2025,"22.43","22.66","22.66","22.66"
03/06/2025,"20.88","21.44","21.44","21.44"
03/05/2025,"20.46","21.49","21.49","21.49"
03/04/2025,"20.62","22.60","22.60","22.60"
03/03/2025,"18.80","18.61","18.61","18.61"
02/28/2025,"19.47","18.63","18.63","18.63"
02/27/2025,"17.75","18.03","18.03","18.03"
02/26/2025,"17.06","16.99","16.99","16.99"
02/25/2025,"17.18","17.78","17.78","17.78"
02/24/2025,"17.26","16.95","16.95","16.95"
02/21/2025,"17.25","16.47","16.47","16.47"
02/20/2025,"16.96","17.52","17.52","17.52"
02/19/2025,"16.09","17.42","17.42","17.42"
02/18/2025,"16.21","16.17","16.17","16.17"
02/17/2025,"16.10","16.21","16.21","16.21"
02/14/2025,"15.93","15.88","15.88","15.88"
02/13/2025,"15.90","16.52","16.52","16.52"
02/12/2025,"16.20","16.17","16.17","16.17"
02/11/2025,"16.50","16.24","16.24","16.24"
02/10/2025,"16.71","16.62","16.62","16.62"
02/07/2025,"15.88","16.65","16.65","16.65"
02/06/2025,"16.09","16.00","16.00","16.00"
02/05/2025,"17.05","16.48","16.48","16.48"
02/04/2025,"17.56","16.77","16.77","16.77"
02/03/2025,"18.49","17.58","17.58","17.58"
01/31/2025,"14.94","15.36","15.36","15.36"
01/30/2025,"15.20","14.91","14.91","14.91"
01/29/2025,"15.80","15.74","15.74","15.74"
01/28/2025,"16.68","16.17","16.17","16.17"
01/27/2025,"17.29","16.76","16.76","16.76"
01/24/2025,"14.95","14.86","14.86","14.86"
01/23/2025,"15.29","14.98","14.98","14.98"
01/22/2025,"15.23","15.00","15.00","15.00"
01/21/2025,"16.71","15.45","15.45","15.45"
01/20/2025,"16.61","16.63","16.63","16.63"
01/17/2025,"15.69","15.72","15.72","15.72"
01/16/2025,"15.30","15.56","15.56","15.56"
01/15/2025,"17.73","16.10","16.10","16.10"
01/14/2025,"17.94","17.70","17.70","17.70"
01/13/2025,"19.61","18.88","18.88","18.88"
01/10/2025,"17.16","18.21","18.21","18.21"
01/09/2025,"17.39","16.97","16.97","16.97"
01/08/2025,"16.52","17.11","17.11","17.11"
01/07/2025,"16.60","16.31","16.31","16.31"
01/06/2025,"17.02","16.43","16.43","16.43"
01/03/2025,"17.35","16.93","16.93","16.93"
01/02/2025,"16.94","17.20","17.20","17.20"
12/30/2024,"17.05","17.00","17.00","17.00"
12/27/2024,"17.35","16.27","16.27","16.27"
12/23/2024,"17.85","17.19","17.19","17.19"
12/20/2024,"19.07","16.84","16.84","16.84"
12/19/2024,"16.85","18.63","18.63","18.63"
12/18/2024,"14.56","14.52","14.52","14.52"
12/17/2024,"14.77","14.57","14.57","14.57"
12/16/2024,"14.34","14.42","14.42","14.42"
12/13/2024,"13.78","13.75","13.75","13.75"
12/12/2024,"13.95","13.84","13.84","13.84"
12/11/2024,"15.30","14.07","14.07","14.07"
12/10/2024,"14.90","15.18","15.18","15.18"
12/09/2024,"14.82","14.68","14.68","14.68"
12/06/2024,"15.18","14.48","14.48","14.48"
12/05/2024,"15.68","15.01","15.01","15.01"
12/04/2024,"16.38","15.84","15.84","15.84"
12/03/2024,"16.62","16.47","16.47","16.47"
12/02/2024,"18.07","17.18","17.18","17.18"
11/29/2024,"17.72","16.96","16.96","16.96"
11/28/2024,"17.73","17.60","17.60","17.60"
11/27/2024,"18.13","18.30","18.30","18.30"
11/26/2024,"17.95","17.73","17.73","17.73"
11/25/2024,"17.60","17.21","17.21","17.21"
11/22/2024,"18.29","17.97","17.97","17.97"
11/21/2024,"18.95","18.95","18.95","18.95"
11/20/2024,"18.64","20.06","20.06","20.06"
11/19/2024,"17.67","19.23","19.23","19.23"
11/18/2024,"17.84","17.79","17.79","17.79"
11/15/2024,"17.86","17.21","17.21","17.21"
11/14/2024,"17.12","17.10","17.10","17.10"
11/13/2024,"17.83","17.68","17.68","17.68"
11/12/2024,"17.44","17.94","17.94","17.94"
11/11/2024,"16.67","16.79","16.79","16.79"
11/08/2024,"16.56","16.78","16.78","16.78"
11/07/2024,"17.76","16.74","16.74","16.74"
11/06/2024,"18.78","18.49","18.49","18.49"
11/05/2024,"21.06","19.85","19.85","19.85"
11/04/2024,"21.98","22.06","20.82","21.98"
11/01/2024,"21.36","21.09","21.09","21.09"
10/31/2024,"20.95","22.18","20.70","20.95"
10/30/2024,"19.28","19.93","19.93","19.93"
10/29/2024,"18.66","18.99","18.99","18.99"
10/28/2024,"19.22","18.66","18.66","18.66"
10/25/2024,"19.14","18.92","18.92","18.92"
10/24/2024,"18.62","19.17","19.17","19.17"
10/23/2024,"18.52","18.99","18.99","18.99"
10/22/2024,"18.41","18.62","18.62","18.62"
10/21/2024,"17.90","18.85","18.85","18.85"
10/18/2024,"17.99","18.07","17.08","17.99"
10/17/2024,"18.88","18.27","18.27","18.27"
10/16/2024,"19.14","19.21","19.21","19.21"
10/15/2024,"17.54","18.60","18.60","18.60"
10/14/2024,"18.81","17.67","17.67","17.67"
10/11/2024,"19.42","18.47","18.47","18.47"
10/10/2024,"19.61","19.19","19.19","19.19"
10/09/2024,"20.68","19.37","19.37","19.37"
10/08/2024,"21.83","20.28","20.28","20.28"
10/07/2024,"20.84","20.22","20.22","20.22"
10/04/2024,"21.47","20.25","20.25","20.25"
10/03/2024,"20.54","21.22","21.22","21.22"
10/02/2024,"20.74","19.89","19.89","19.89"
10/01/2024,"18.15","21.54","17.68","18.15"
09/27/2024,"16.20","15.95","15.95","15.95"
09/26/2024,"15.77","16.38","16.38","16.38"
09/25/2024,"16.50","16.22","16.22","16.22"
09/24/2024,"16.01","16.02","16.02","16.02"
09/23/2024,"17.16","16.37","16.37","16.37"
09/20/2024,"15.54","16.19","16.19","16.19"
09/19/2024,"16.22","15.42","15.42","15.42"
09/18/2024,"16.75","17.06","17.06","17.06"
09/17/2024,"16.82","16.58","16.58","16.58"
09/16/2024,"16.92","17.12","17.12","17.12"
09/13/2024,"16.92","16.05","16.05","16.05"
09/12/2024,"17.90","17.53","17.53","17.53"
09/11/2024,"19.08","19.60","19.60","19.60"
09/10/2024,"19.71","19.54","19.54","19.54"
09/09/2024,"22.37","20.23","20.23","20.23"
09/06/2024,"21.07","22.58","22.58","22.58"
09/05/2024,"20.24","20.05","20.05","20.05"
09/04/2024,"19.48","19.87","19.87","19.87"
09/03/2024,"15.49","17.34","17.34","17.34"
09/02/2024,"15.90","15.41","15.41","15.41"
08/30/2024,"15.36","15.27","15.27","15.27"
08/29/2024,"15.30","15.23","15.23","15.23"
08/28/2024,"15.29","15.59","15.59","15.59"
08/27/2024,"15.55","15.46","15.46","15.46"
08/26/2024,"15.76","15.66","15.66","15.66"
08/23/2024,"15.89","15.31","15.31","15.31"
08/22/2024,"15.39","16.01","16.01","16.01"
08/21/2024,"15.62","15.48","15.48","15.48"
08/20/2024,"14.83","15.46","15.46","15.46"
08/19/2024,"15.39","14.92","14.92","14.92"
08/16/2024,"15.78","14.50","14.50","14.50"
08/15/2024,"16.06","15.31","15.31","15.31"
08/14/2024,"17.80","16.76","16.76","16.76"
08/13/2024,"19.08","18.34","18.34","18.34"
08/12/2024,"19.13","19.29","19.29","19.29"
08/09/2024,"21.23","20.43","20.43","20.43"
08/08/2024,"21.27","21.63","21.63","21.63"
08/07/2024,"25.24","20.75","20.75","20.75"
08/06/2024,"30.49","25.07","25.07","25.07"
